ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688317.SH,20250430,20250331,招商银行股份有限公司-广发价值核心混合型证券投资基金,4817162.0,2.5068,2.5069,0.0,开放式投资基金
688317.SH,20250430,20250331,宁波睿道创业投资合伙企业(有限合伙),3321245.0,1.7283,1.7284,0.0,风险投资公司
688317.SH,20250430,20250331,邵俊斌,659444.0,0.3431,0.3432,,自然人
688317.SH,20250430,20250331,上海迈景纳米科技有限公司,1253400.0,0.6522,0.6523,0.0,一般企业
688317.SH,20250430,20250331,北京泰德圣私募基金管理有限公司-泰德圣投资-泰来景睿私募证券投资基金,786018.0,0.409,0.409,0.0,其他金融产品
688317.SH,20250430,20250331,中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金,1500000.0,0.7806,0.7806,-200000.0,开放式投资基金
688317.SH,20250430,20250331,中国银行股份有限公司-大成景恒混合型证券投资基金,909200.0,0.4731,0.4732,0.0,开放式投资基金
688082.SH,20250430,20250331,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,1895121.0,0.4294,0.4346,1957.0,开放式投资基金
688082.SH,20250430,20250331,香港中央结算有限公司,6518782.0,1.4772,1.4948,2798723.0,一般企业
688262.SH,20250429,20250331,苏州国芯科技股份有限公司回购专用证券账户,6700439.0,1.9941,2.5347,153220.0,其他金融产品
688262.SH,20250429,20250331,宁波嘉信佳禾创业投资合伙企业(有限合伙),6302552.0,1.8757,2.3842,-1223170.0,风险投资公司
688262.SH,20250429,20250331,蒋良君,3979904.0,1.1844,1.5055,0.0,自然人
688262.SH,20250429,20250331,张一雯,3216043.0,0.9571,1.2166,,自然人
688262.SH,20250429,20250331,孙力生,7457894.0,2.2196,2.8212,0.0,自然人
688262.SH,20250429,20250331,孟杰,4925564.0,1.4659,1.8633,0.0,自然人
831895.BJ,20250429,20250331,胡心,1200000.0,1.7647,1.7647,,自然人
688161.SH,20250430,20250331,威海弘阳瑞信息技术中心(有限合伙),23333333.0,5.8333,5.8333,0.0,一般企业
688161.SH,20250430,20250331,山东威高骨科材料股份有限公司回购专用证券账户,2713876.0,0.6784,0.6785,0.0,其他金融产品
688161.SH,20250430,20250331,威高集团有限公司,30000000.0,7.5,7.5,0.0,一般企业
688090.SH,20250429,20250331,深圳前海觅贝私募证券基金管理有限公司-恒泰觅贝6号私募证券投资基金,5642000.0,5.9897,6.0073,0.0,其他金融产品
688161.SH,20250430,20250331,威高國際醫療有限公司,67500000.0,16.875,16.875,0.0,一般企业
688090.SH,20250429,20250331,兴业银行股份有限公司-华夏中证机器人交易型开放式指数证券投资基金,1063422.0,1.1289,1.1323,,开放式投资基金
688090.SH,20250429,20250331,颜雪涛,1454017.0,1.5436,1.5482,-20000.0,自然人
688161.SH,20250430,20250331,山东省财金投资集团有限公司,19972467.0,4.9931,4.9931,-5280000.0,投资公司
688090.SH,20250429,20250331,赵伟,4709642.0,4.9999,5.0146,-5600.0,自然人
688161.SH,20250430,20250331,威海永耀贸易中心(有限合伙),5630000.0,1.4075,1.4075,-1870000.0,一般企业
688090.SH,20250429,20250331,孙志强,22533609.0,23.9224,23.9927,0.0,自然人
871079.BJ,20250430,20250331,珠海市孚悦中诚资产管理有限公司-悦诚同心共享8号私募证券投资基金,1095624.0,1.5652,1.5652,62265.0,其他金融产品
871079.BJ,20250430,20250331,昆山市国科创业投资有限公司,6392272.0,9.1321,9.1321,0.0,资产管理公司
871079.BJ,20250430,20250331,共青城同策投资管理合伙企业(有限合伙),6040000.0,8.6288,8.6289,0.0,投资公司
871079.BJ,20250430,20250331,许利民,613238.0,0.876,0.8761,25.0,自然人
871079.BJ,20250430,20250331,厦门金广叁号股权投资合伙企业(有限合伙),742162.0,1.0602,1.0603,-658144.0,风险投资公司
871079.BJ,20250430,20250331,周振,14609675.0,20.8716,20.8717,0.0,自然人
871079.BJ,20250430,20250331,夏迎松,555703.0,0.7938,0.7939,,自然人
871079.BJ,20250430,20250331,广州科技金融创新投资控股有限公司,3871129.0,5.5303,5.5304,0.0,资产管理公司
871079.BJ,20250430,20250331,傅忠,9465447.0,13.5225,13.5225,0.0,自然人
